item_group,item,discipline,owner,required_format,required_fields,acceptance_condition,due_milestone,status,na_reason,na_accepted_by,document_id,revision_id
drawings_calcs,Construction-issued drawing set L22 MECH,MECH,AI operator / discipline lead,"HTML/SVG + PDF + DWG, registered revision","sheet number, revision_id, calc IDs, key design data box, assumptions box","current_construction pointer set for L22 / MECH; registered in the ProjectBook; every number carries a calc ID",S9,REQUIRED,,,,
drawings_calcs,Stage calc book S6 (all disciplines),ALL,AI operator,"CALC-BOOK HTML with JSON export","calc register index; per calc: inputs, method, clause, result, status, blind re-calc value","consultant-signed revision registered as an immutable revision linked to the book",S9,REQUIRED,,,,
endorsements_approvals,Consultant endorsement — MECH package,MECH,PM,"signed original PDF + covering letter + per-file manifest","signer, firm, discipline, date, conditions, document_id, revision_id, sha256, scope","endorsement record attached to the exact revision within one working day of receipt; manifest verified",S9,REQUIRED,,,,
endorsements_approvals,Consultant endorsement — STR package,STR,PM,"signed original PDF + covering letter + per-file manifest","signer, firm, discipline, date, conditions, document_id, revision_id, sha256, scope","endorsement record attached to the exact revision; manifest verified",S9,ACCEPTED,,,DOC-STR-0001,R03
procurement_installation,Installed equipment list with serial numbers,MECH,Procurement (vendor) / site,"CSV per templates/asset-register.csv","asset_id, selected_manufacturer, selected_model, serial_number, install_date","every maintainable asset has a serial number and install date from delivery / site evidence, or TBC with a named owner and date",S10,REQUIRED,,,,
as_built,As-built drawings MECH L22,MECH,Contractor,"PDF + editable source (DWG / RVT) + IFC","sheet number, as-built revision_id, redline references, verifier name","verified by a person against the installed work; accepted and published for operations (current_operations)",handover,REQUIRED,,,,
as_built,As-built drawings ELEC L22,ELEC,Contractor,"PDF + editable source (DWG / RVT) + IFC","sheet number, as-built revision_id, redline references, verifier name","verified by a person against the installed work; accepted and published for operations (current_operations)",handover,RECEIVED,,,DOC-ELEC-0012,R02
om_manuals,O&M manual — air handling units,MECH,Vendor via procurement,"PDF; one manual stored once and linked to every covered asset","model, service intervals, spares part numbers, fault modes, points list, set-points","attached to every asset_id it covers; unknown fields TBC, never invented",S10,REQUIRED,,,,
om_manuals,O&M manual — lift,VT,Vendor via procurement,PDF,"model, service intervals, spares, statutory inspection regime",attached to the lift asset_id,S10,N/A,no lift in scope (two-storey villa),<Operation Owner name>,,
commissioning,Commissioning test records — fire-mode interlocks,FIRE,Commissioning agent / contractor,"templates/commissioning-tests.csv rows with result, witnessed_by, date","test_id, result, tolerance, witnessed_by, date, asset_ids","every applicable test has a witnessed result; any FAIL closed by a rerun on record",handover,REQUIRED,,,,
asset_register,Asset register — final fill,ALL,PM,templates/asset-register.csv,"all columns; TBC only with a named owner","100 % of maintainable assets with required fields and applicable O&M links",handover,REQUIRED,,,,
warranties,Warranty certificates and start-date basis,MECH,Procurement (vendor),"PDF certificate + asset register line","asset_id, warranty_start_basis, warranty_end","the start basis is a dated document (commissioning certificate or practical completion), never an assumption",handover,REQUIRED,,,,
training,Operator training — BMS and controls,ELEC,Contractor,"attendance record + training materials","date, attendees, systems covered, materials document_id",Operation Owner confirms attendance and materials,handover,REQUIRED,,,,
maintenance_requirements,Service intervals and statutory maintenance schedule,FIRE,Discipline lead,"schedule (CSV) referenced by the asset register","asset_id, interval, standard · year · clause, responsible party","every maintainable asset has an interval; statutory items cite the standard from the digest",S6,REQUIRED,,,,
spares,Spares and consumables list,MECH,Vendor via procurement,CSV,"asset_id, part number, quantity, supplier, lead time",listed for every asset with consumables; part numbers match the O&M manual,S10,REQUIRED,,,,
contacts,Service contacts per system,ALL,PM,register lines,"system_id / asset_id, firm, phone, email, contract reference, response time",a reachable contact exists for every system at handover,handover,REQUIRED,,,,
