calc_key,discipline,group,title_en,title_zh,stage_due,inputs,method_standard,outputs,acceptance,na_condition,deliverable_ref
MECH-LOAD-01,MECH,Loads,Zone peak cooling and heating loads on design days (sensible / latent split),分区设计日峰值冷热负荷（显热/潜热分开）,S3,zone geometry; floor heights; envelope U / SHGC; orientation; internal gains; schedules; design-day conditions; OA rates; infiltration,"EnergyPlus loads model (design days, not EPW maxima); results.json v2 design_cooling_kW / design_heating_kW per zone",zone load table kW with time of peak; sensible / latent; design_day_basis record,every zone has a value; design-day basis recorded; results.json run_status completed,never N/A for conditioned buildings,THM-LOAD-01; X-000 Load & Energy Report
MECH-LOAD-02,MECH,Loads,"Block load, diversity and central plant capacity",全楼 block load、同时性与中央设备容量,S3,zone loads; orientation diversity; OA treatment load; distribution losses; sizing factor,sum of non-coincident zone peaks vs coincident block; sizing factor stated; DA09 or EnergyPlus,block cooling / heating kW; sizing factor; plant capacity brief,block ≤ sum of zone peaks; sizing factor ≤ 1.15 unless justified,—,Equipment Schedule (S5) input
MECH-LOAD-03,MECH,Loads,Outdoor-air treatment load (DOAS / OA units),集中新风处理负荷,S3,OA rates per space; design outdoor state; supply state; heat recovery effectiveness,psychrometric calc at design day; heat recovery credited only with vendor data,OA unit coil duties kW; heat recovery kW,coil duties on equipment schedule; energy recovery assumption tagged ASSUMED until vendor data,no central OA treatment (all-natural ventilation),M-600 SA/OA schematic
MECH-LOAD-04,MECH,Loads,Room-by-room loads for terminal unit selection,逐房间负荷用于末端选型,S6,zone loads split by room; internal gains per room; glazing per room,per-room sensible / latent from the loads model or DA09 room method,room load schedule; terminal duty per room,every conditioned room has a duty and a terminal tag,—,M-500 equipment schedule
MECH-OA-01,MECH,Ventilation,Outdoor air rates per space,各空间新风量,S3,occupancy per space; floor areas; space type,AS 1668.2 minimum OA per person / per m² (digest record ids),OA schedule per space and per AHU / OA unit,every occupied space has an OA rate and a clause reference,—,M-500 ventilation schedule
MECH-OA-02,MECH,Ventilation,"Exhaust rates: toilets, laundry, plant, bin rooms, back-of-house",排风量：卫生间、洗衣、机房、垃圾房、后勤,S6,room list; fixtures; heat loads; odour sources,AS 1668.2 exhaust rates; AS 1668.2 discharge / separation rules,exhaust schedule; fan duties; discharge points,every room needing exhaust listed; discharge separations checked (MECH-SPC-03),—,M-100 layouts; M-500
MECH-OA-03,MECH,Ventilation,"Kitchen exhaust hood airflow, make-up air, duct velocity, grease treatment",厨房排风罩风量、补风、风管风速、油烟处理,S6,hood dimensions; appliance duty; hood type; kitchen layout,AS 1668.2 Section 3 (hood formulae); duct velocity ≥ 7.5 m/s; access panels; fire rating of duct,hood schedule; KEF duty; make-up air; duct sizes; grease filtration / ESP selection,hood flow per AS 1668.2; velocity within limits; make-up ≥ 80 % of exhaust or justified,no commercial kitchen,M-100 kitchen sheet; M-500
MECH-OA-04,MECH,Ventilation,Car park ventilation (CO-controlled) and jet fan / duct system,停车场通风（CO 控制）,S6,car park area; vehicle movements; usage class; geometry,AS 1668.2 Section 4 method; CO sensor control; smoke exhaust interface,supply / exhaust flow; fan duties; sensor zoning,flows per AS 1668.2; fire-mode operation defined in MECH-CTL-02,no enclosed car park,M-100 basement sheets
MECH-SMK-01,MECH,Smoke control,"Stair and lift-lobby pressurisation: flows, door forces, relief",楼梯与电梯前室加压送风：风量、门力、泄压,S3,stair geometry; door count and leakage; open-door criteria; shaft leakage,AS/NZS 1668.1 pressurisation method; door opening force ≤ 110 N; velocity through open door,fan duty; relief path; pressure differential; door force check,door force ≤ 110 N; velocity criterion met; fan on essential supply (ELEC-SUP-02),building not required to be pressurised (rise in storeys / effective height below trigger) — state clause,M-600 pressurisation schematic; M-100
MECH-SMK-02,MECH,Smoke control,Smoke exhaust / zone smoke control / smoke reservoirs,排烟与分区烟控,S6,fire compartments; smoke zones; fire size; ceiling height; reservoir geometry,AS/NZS 1668.1 zone smoke control; fire engineering inputs where PS,exhaust flows; make-up; fan duties; reservoir sizing; damper schedule,flows and reservoirs sized; fire-mode matrix complete,no smoke exhaust required by DtS or PS,M-600; FIRE-CE-01
MECH-DUCT-01,MECH,Air distribution,Duct sizing and velocities (equal friction / static regain),风管尺寸与风速,S6,airflows per run; route lengths; fittings; ceiling zone depth from ARC-CEIL-01,equal friction (1 Pa/m typical) or static regain for high-velocity; velocity limits by space NR,"duct schedule per run: size, velocity, friction; bottom-of-duct RL",every run sized; velocities within NR limits; sizes fit the ceiling zone (services-coordination-2d),—,M-100 air layouts
MECH-DUCT-02,MECH,Air distribution,System static pressure and fan total pressure per air system,系统静压与风机全压,S6,index run; fittings loss coefficients; coil / filter / attenuator drops; terminal pressures,sum of index-run losses (SMACNA / ASHRAE coefficients); safety margin stated,fan total pressure Pa per system; index run identified,index run pressure documented; margin ≤ 15 % unless justified,—,M-500 fan schedule
MECH-DUCT-03,MECH,Air distribution,"Fan selection, motor kW, VSD and fan power limit",风机选型、电机功率、变频与风机功率限值,S6,flow; total pressure; efficiency curves; motor class,product-library curves; NCC J6 fan motor power limits; VSD control,"fan schedule with duty point, efficiency, motor kW, SFP",duty within curve; fan power ≤ NCC J6 limit or JV3 route stated,—,M-500; ELEC-CAB-01 input
